id	name	alias	fl
20000222-2	Eloy Padilla V.	Eloy Padilla V.|Eloy Padilla	fl. 2004
20000311-1	Christian Heather Ford	Christian Heather Ford|Heather Ford	1971-
20000324-2	Pedro Fiaschi	Pedro Fiaschi	fl. 2003
20000413-1	Ivan Holliday	Ivan Holliday	1926-
20000414-1	Guillermo Ubieto	Guillermo Ubieto	c.1986-
20000426-2	Sachin Anil Punekar	Sachin Anil Punekar	1977-
20000427-2	Soo Hyun Park	Soo Hyun Park	fl. 1976
20000428-2	Kun-Yong Ahn	Kun-Yong Ahn	fl. 1976
20000429-2	Hyun Sam Kim	Hyun Sam Kim	fl. 1988
20000430-2	Man Kyu Pak	Man Kyu Pak|M.K. Park	fl. 1974
20000431-2	Hidetoshi Suzuki	Hidetoshi Suzuki	fl. 1988
20000516-1	Ethel Anson Peckham	Ethel Anson Peckham|Mrs Wheeler H. Peckham	1879-1965
20000517-1	Amelia Warren Griffiths	Amelia Warren Griffiths	1768-1858
20000518-1	Henry Thomas Tisdall	Henry Thomas Tisdall	1836?-1905
20000533-2	Da Ming Zhang	Da Ming Zhang	fl. 2004
20000534-2	Josefa López	Josefa López	fl. 2004
20000621-1	Ross Robert Mackerras Rowe	Ross Robert Mackerras Rowe	1966-
20000622-1	Frederick John Edwards	Frederick John Edwards	1937-
20000623-1	Patricia Grace Edwards	Patricia Grace Edwards	1943-
20000636-2	Shahrokh Kazempour Osaloo	Shahrokh Kazempour Osaloo|Sh. Kazempour Osaloo	1966-
20000725-1	Alexander G. Floyd	Alexander G. Floyd	1926-
20000738-2	Martha Marcela Mora	Martha Marcela Mora	1977-
20000739-2	H. Billensteiner	H. Billensteiner	fl. 2003
20000827-1	Torill Nyhuus	Torill Nyhuus	fl. 2003
20000828-1	R. Estrada	R. Estrada	fl. 2003
20000829-1	N.S. Bhatt	N.S. Bhatt	fl. 1967
20000831-1	Arleen R. Bessette	Arleen R. Bessette	fl. 1998
20000832-1	Mark T. Banik	Mark T. Banik	fl. 1998
20000833-1	Antoine Ayel	Antoine Ayel	1920-2004
20000834-1	Luigi Arras	Luigi Arras	fl. 1998
20000835-1	Susumu Ando	Susumu Ando	fl. 1997
20000836-1	 Bidaux	 Bidaux	fl. 1996
20000837-1	Francis Fouchier	Francis Fouchier	fl. 1998
20000838-1	 Chrispijn	 Chrispijn	fl. 1996
20000839-1	Michel Jacquenoud-Steinlin	Michel Jacquenoud-Steinlin	fl. 1976
20000840-1	Alberto Altés	Alberto Altés	fl. 1992
20000841-2	Johan de Vries	Johan de Vries|Joh. de Vries	1947-
20000842-1	W. Gadêlha	W. Gadêlha	fl. 1969
20000844-1	Noël Bernard	Noël Bernard|P. Noël Bernard	fl. 1914
20000845-1	K.G. Karandikar	K.G. Karandikar	fl. 1992
20000846-1	J.C. Bhatt	J.C. Bhatt	fl. 1991
20000847-1	Wolfgang Helfer	Wolfgang Helfer	fl. 1992
20000848-1	Salvatore Curreli	Salvatore Curreli	fl. 1992
20000849-1	Sally Lorna Glockling	Sally Lorna Glockling	fl. 1992
20000850-1	Walter A.J. De De Milliano	Walter A.J. De De Milliano	fl. 1991
20000851-1	Carlos E. Gómez	Carlos E. Gómez	fl. 1976
20000852-1	P. Del Serrone	P. Del Serrone	fl. 1991
20000853-1	Huan Mou Fang	Huan Mou Fang	fl. 1992
20000854-1	Debra E. Frederickson	Debra E. Frederickson	fl. 1991
20000855-1	Josef Houda	Josef Houda	fl. 1991
20000856-1	(Major General) Hobson	(Major General) Hobson	fl. 1886
20000857-1	R. Hernández	R. Hernández	fl. 1987
20000858-1	Zhao Wei Liu	Zhao Wei Liu	fl. 1991
20000859-1	M.Pavlich Herrera	M.Pavlich Herrera	fl. 1964
20000860-1	T.E.T. Bond	T.E.T. Bond	fl. 1947
20000861-1	H. Guillemin	H. Guillemin	fl. 1909
20000862-1	Serge Kizlik	Serge Kizlik	fl. 1997
20000863-1	C.H. Hwang	C.H. Hwang	fl. 1991
20000864-1	R.J.G. Hertel	R.J.G. Hertel	fl. 1939
20000865-1	 Cran	 Cran	fl. 1917
20000866-1	J. Bathgate	J. Bathgate	fl. 1996
20000867-1	K.C. Ling	K.C. Ling	fl. 1950
20000869-1	Guo Zhong Lu	Guo Zhong Lu	fl. 1993
20000870-1	François M. Lutzoni	François M. Lutzoni	fl. 1994
20000871-1	Qing Xuan Lu	Qing Xuan Lu	fl. 1995
20000872-1	Jin Feng Lu	Jin Feng Lu	fl. 1995
20000873-1	Cristiano Losi	Cristiano Losi	fl. 1995
20000874-1	Katileena Lohtander	Katileena Lohtander	fl. 1994
20000876-1	Pavel Lizoň	Pavel Lizoň|Pavol Lizoň	1945-
20000877-1	Ying Gao Liu	Ying Gao Liu	fl. 1995
20000878-1	Yen Sher Liu	Yen Sher Liu	fl. 1995
20000880-1	Xing Zhong Liu	Xing Zhong Liu	fl. 1993
20000881-1	R. Liu	R. Liu	fl. 1994
20000882-1	Pei Gui Liu	Pei Gui Liu	fl. 1993
20000883-1	Marie Lindström	Marie Lindström	fl. 1993
20000884-1	Shi Ming Lin	Shi Ming Lin	fl. 1992
20000885-1	Qing Hong Lin	Qing Hong Lin	fl. 1994
20000886-1	G.X. Lin	G.X. Lin	fl. 1995
20000888-1	Vello Liiv	Vello Liiv	fl. 1992
20000889-1	Constanza Liggieri	Constanza Liggieri	fl. 1993
20000890-1	A. Lichon	A. Lichon	fl. 1992
20000891-1	Li Zhe Liang	Li Zhe Liang	fl. 1991
20000892-1	Jian Zong Li	Jian Zong Li	fl. 1993
20000894-1	Duo Chuan Li	Duo Chuan Li	fl. 1993
20000895-1	Chun Jie Li	Chun Jie Li	fl. 1995
20000896-1	L.S. Leu	L.S. Leu	fl. 1978
20000897-1	S.M. Leghari	S.M. Leghari	fl. 1991
20000898-1	Ching Fu Lee	Ching Fu Lee	fl. 1993
20000899-1	K.T. Leath	K.T. Leath	fl. 1994
20000900-1	D. Le Coeur	D. Le Coeur	fl. 1994
20000901-1	Ellen Larsson	Ellen Larsson	fl. 1993
20000902-1	Gitta Langer	Gitta Langer	fl. 1994
20000903-1	 Landrón	 Landrón	fl. 1993
20000905-1	 Lacsmándi	 Lacsmándi	fl. 1994
20000906-1	Ernestas Kutorga	Ernestas Kutorga	fl. 1992
20000907-1	Donn J. Kushner	Donn J. Kushner	fl. 1975
20000908-1	Ker Chung Kuo	Ker Chung Kuo	fl. 1992
20000911-1	Kazu-ichi Kudo	Kazu-ichi Kudo	fl. 1994
20000912-1	 Kozaki	 Kozaki	fl. 1993
20000914-1	Lasse Kosonen	Lasse Kosonen	fl. 1994
20000915-1	Alejandro Kong Luz	Alejandro Kong Luz|Alejandro Kong	1961-
20000916-1	Sergei Yakovlevich Kondratyuk	Sergei Yakovlevich Kondratyuk|Sergii Kondratiuk|Sergey Kondratjuk	1959-
20000917-1	Hideaki Kondo	Hideaki Kondo	fl. 1984
20000918-1	Jørgen Koch	Jørgen Koch	fl. 1993
20000920-1	Josef König	Josef König	fl. 1901
20000921-1	Glen R. Klassen	Glen R. Klassen	fl. 1993
20000923-1	Aruna Khashnobish	Aruna Khashnobish	fl. 1993
20000924-1	M.S. Khan	M.S. Khan	fl. 1994
20000925-1	Diana M. Kennedy	Diana M. Kennedy	fl. 1995
20000926-1	P.H. Kelderman	P.H. Kelderman	fl. 1994
20000927-1	R. Kehr	R. Kehr	fl. 1995
20000928-1	Yuji Kawabe	Yuji Kawabe	fl. 1992
20000930-1	Eriko Katsurashima	Eriko Katsurashima	fl. 1993
20000931-1	L.E. Kari	L.E. Kari	fl. 1957
20000932-1	Seigo Kamiya	Seigo Kamiya	fl. 1993
20000934-1	R.M. Kalgutkar	R.M. Kalgutkar	fl. 1995
20000935-1	Keiko Kagaya	Keiko Kagaya	fl. 1994
20000936-1	Nilton T.V. Junqueira	Nilton T.V. Junqueira	fl. 1990
20000937-1	A. Vijaya Joseph	A. Vijaya Joseph	fl. 1995
20000938-1	Kenneth G. Johnson	Kenneth G. Johnson	fl. 1975
20000939-1	B. Jiménez	B. Jiménez	fl. 1992
20000940-1	Dong Fu Jiang	Dong Fu Jiang	fl. 1994
20000942-1	Inosuke Iwade	Inosuke Iwade	fl. 1944
20000943-1	M.A. Ismail	M.A. Ismail	fl. 1995
20000944-1	Sofie Isbrand	Sofie Isbrand	fl. 1992
20000944-2	Akihiko Tanaka	Akihiko Tanaka	fl. 2003
20000945-1	G. Douglas Inglis	G. Douglas Inglis	fl. 1992
20000946-1	Marco T. Ialongo	Marco T. Ialongo	fl. 1992
20000947-1	Nigel L. Hywel-Jones	Nigel L. Hywel-Jones	fl. 1994
20000948-1	Henk A. Huijser	Henk A. Huijser	fl. 1993
20000949-1	Heinrich Huber	Heinrich Huber	fl. 1988
20000950-1	Yao Jian Huang	Yao Jian Huang	fl. 1993
20000951-1	Hong Ji Hu	Hong Ji Hu	fl. 1986
20000952-1	Bing Fu Hu	Bing Fu Hu	fl. 1994
20000953-1	J. Howe	J. Howe	fl. 1992
20000955-1	Tsuyoshi Hosoya	Tsuyoshi Hosoya	fl. 1994
20000957-1	Jana Horáková	Jana Horáková	1959-
20000958-1	Arne Holst-Jensen	Arne Holst-Jensen	fl. 1997
20000959-1	Michael T. Holmes	Michael T. Holmes	fl. 1995
20000961-1	A.S. Highet	A.S. Highet	fl. 1994
20000963-1	Gabriela Heredia	Gabriela Heredia	fl. 1995
20000964-1	Fang He	Fang He	fl. 1993
20000965-1	Maria Havrylenko	Maria Havrylenko	fl. 1995
20000966-1	Reidar Haugan	Reidar Haugan	fl. 1992
20000967-1	Tsutomu Hattori	Tsutomu Hattori	fl. 1995
20000968-1	Sugin He	Sugin He	fl. 1997
20000969-1	Hagen Hass	Hagen Hass	fl. 1993
20000970-1	R. Harling	R. Harling	fl. 1993
20000971-1	Ken A. Haynes	Ken A. Haynes	fl. 1995
20000972-1	B.T. Hao	B.T. Hao	fl. 1991
20000973-1	James L. Hanula	James L. Hanula	fl. 1991
20000974-1	T. Hadar	T. Hadar	fl. 1982
20000975-1	Shou Yu Guo	Shou Yu Guo	fl. 1994
20000977-1	H. Gsell	H. Gsell	fl. 1992
20000978-1	Johannes de Gruyter	Johannes de Gruyter	fl. 1992
20000979-1	G.G. Grove	G.G. Grove	fl. 1993
20000980-1	Helga Grosse-Brauckmann	Helga Grosse-Brauckmann	fl. 1993
20000981-1	J.V. van Greuning	J.V. van Greuning	fl. 1993
20000982-1	Frank Graf	Frank Graf	fl. 1993
20000985-1	S.A. Gordon	S.A. Gordon	fl. 1995
20000987-1	Alfredo Gonzáles-Velázquez	Alfredo Gonzáles-Velázquez	fl. 1992
20000988-1	Xian Du Gong	Xian Du Gong	fl. 1995
20000989-1	Bernard Goffinet	Bernard Goffinet	fl. 1993
20000990-1	Margaret B. Gochnauer	Margaret B. Gochnauer	fl. 1975
20000991-1	Anthony E. Glenn	Anthony E. Glenn	fl. 1994
20000992-1	Deborah Lynne Ethridge Glass	Deborah Lynne Ethridge Glass	fl. 1987
20000993-1	Claudia Gierl	Claudia Gierl	fl. 1993
20000995-1	P.K. Gaur	P.K. Gaur	fl. 1979
20000996-1	Domenico Garofoli	Domenico Garofoli	fl. 1994
20000997-1	Gustavo García	Gustavo García	fl. 1994
20000998-1	Ren Heng Gao	Ren Heng Gao	fl. 1995
20000999-1	Philip Ganter	Philip Ganter	fl. 1994
20001000-1	Ligia Galiz	Ligia Galiz	fl. 1995
20001001-1	Marcella Galán	Marcella Galán	fl. 1993
20001004-1	Bruce Alexander Fuhrer	Bruce Alexander Fuhrer	fl. 1994
20001007-1	K. Friederichs	K. Friederichs	fl. 1923
20001008-1	Ana Esperanza Franco-Molano	Ana Esperanza Franco-Molano	fl. 1992
20001009-1	G.A. Forbes	G.A. Forbes	fl. 1993
20001010-1	O. Foitzik	O. Foitzik	fl. 1995
20001011-1	Mariana Fleig	Mariana Fleig	fl. 1995
20001013-1	Joyce Feldman	Joyce Feldman	fl. 1995
20001014-1	Carol Ann Ellison	Carol Ann Ellison	fl. 1995
20001015-1	Angela U. Ejale	Angela U. Ejale	fl. 1992
20001016-1	Jørgen Eilenberg	Jørgen Eilenberg	fl. 1994
20001017-1	Heinz-J. Ebert	Heinz-J. Ebert	fl. 1992
20001018-1	Colleen Ebersohn	Colleen Ebersohn	fl. 1992
20001019-1	Martine Dusser	Martine Dusser	fl. 1990
20001020-1	James M. Duncan	James M. Duncan|Jim Duncan	fl. 1993
20001021-1	Frank M. Dugan	Frank M. Dugan	fl. 1995
20001022-1	 Drázda	 Drázda	fl. 1951
20001023-1	Francesco Doveri	Francesco Doveri	fl. 1993
20001024-1	René Dougoud	René Dougoud	fl. 1995
20001025-1	 Doublés	 Doublés	fl. 1992
20001027-1	José Carmine Dianese	José Carmine Dianese	fl. 1993
20001028-1	Suresh Dhyani	Suresh Dhyani	fl. 1991
20001029-1	S. Dhancholia	S. Dhancholia	fl. 1992
20001031-1	S.D Deoray	S.D Deoray	fl. 1994
20001032-1	Le Deng	Le Deng	fl. 1993
20001033-1	J.R. Deng	J.R. Deng	fl. 1995
20001034-1	Cvetomir Mitev Denchev	Cvetomir Mitev Denchev|Tsvetomir Mitev Denchev	1958-
20001035-1	N.G. Dekanoidze	N.G. Dekanoidze	fl. 1992
20001036-1	J.T. DeValerio	J.T. DeValerio	fl. 1993
20001037-1	R.E. DeGregorio	R.E. DeGregorio	fl. 1994
20001038-1	T.K. De	T.K. De	fl. 1992
20001039-1	B. Rajeshwari Dayal	B. Rajeshwari Dayal	fl. 1993
20001040-1	Joseph S. Davis	Joseph S. Davis	fl. 1994
20001041-1	B.K. Das	B.K. Das	fl. 1982
20001042-1	Yu Sheng Dai	Yu Sheng Dai	fl. 1992
20001043-1	Yu Cheng Dai	Yu Cheng Dai	fl. 1994
20001046-1	C.A. Cordo	C.A. Cordo	fl. 1991
20001046-2	Richard Lansdown	Richard Lansdown	fl. 2004
20001047-1	Ulzijn Cogt	Ulzijn Cogt	1940-1996
20001048-1	Joseph W. Clark	Joseph W. Clark	fl. 1994
20001049-1	Michael Citérin	Michael Citérin	1941-1999
20001050-1	Antonio Ciccaroni	Antonio Ciccaroni	fl. 1992
20001051-1	Wen Neng Chou	Wen Neng Chou	fl. 1991
20001052-1	S. Chinnaraj	S. Chinnaraj	fl. 1992
20001053-1	Gérard Chevalier	Gérard Chevalier	fl. 1979
20001054-1	Ming Yuan Cheng	Ming Yuan Cheng	fl. 1992
20001055-1	H.C. Cheng	H.C. Cheng	fl. 1949
20001056-1	Xue Fen Chen	Xue Fen Chen	fl. 1986
20001057-1	Shuang Lin Chen	Shuang Lin Chen	fl. 1992
20001058-1	K.T. Chen	K.T. Chen	fl. 19??
20001059-1	Jie Chen	Jie Chen	fl. 1995
20001060-1	Guo Gui Chen	Guo Gui Chen	fl. 1990
20001061-1	Chi Yu Chen	Chi Yu Chen	fl. 1993
20001062-1	Chang Fa Chen	Chang Fa Chen	fl. 1995
20001065-1	Raghavan Charudattan	Raghavan Charudattan	fl. 1993
20001066-1	Ignacio H. Chapela	Ignacio H. Chapela	fl. 1995
20001069-1	Satish Chandra	Satish Chandra	fl. 1991
20001070-1	Y.C. Chan	Y.C. Chan	fl. 1992
20001071-1	Joo Young Cha	Joo Young Cha	fl. 1994
20001072-1	Ten Cate	Ten Cate	fl. 1994
20001073-1	Lisa A. Castlebury	Lisa A. Castlebury	fl. 1995
20001074-1	Gabriel Castillo	Gabriel Castillo	fl. 1994
20001075-1	M. Castello	M. Castello	fl. 1994
20001076-1	Manuel Casares-Porcel	Manuel Casares-Porcel	fl. 1992
20001077-1	Gloria Carrión	Gloria Carrión	fl. 1993
20001078-1	Zhi Min Cao	Zhi Min Cao	fl. 1994
20001079-1	Ruo Bin Cao	Ruo Bin Cao	fl. 1990
20001080-1	Lei Cao	Lei Cao	fl. 1995
20001081-1	Antonio Canals	Antonio Canals	fl. 1992
20001082-1	Antonio Cadiñanos	Antonio Cadiñanos	fl. 1994
20001083-1	Gabriele Cacialli	Gabriele Cacialli	fl. 1993
20001084-1	Marcos P.S. Câmara	Marcos P.S. Câmara	fl. 1993
20001085-1	Karel Čížek	Karel Čížek	fl. 1935-2013
20001086-1	Perveen Bushra	Perveen Bushra	fl. 1980
20001087-1	Ana Rosa Burgaz	Ana Rosa Burgaz	fl. 1992
20001090-1	Widar Bremer	Widar Bremer	fl. 1901
20001091-1	Z. Bouznad	Z. Bouznad	fl. 1995
20001092-1	A.W. Borthwick	A.W. Borthwick	fl. 1909
20001093-1	Montserrat Boqueras	Montserrat Boqueras	fl. 1993
20001094-1	Michael Bohn	Michael Bohn	fl. 1993
20001095-1	M. Bodin	M. Bodin	fl. 1994
20001096-1	Alberto Bizzi	Alberto Bizzi	fl. 1994
20001097-1	Enrico Bizio	Enrico Bizio	fl. 1992
20001099-1	Seema Bhadauria	Seema Bhadauria	fl. 1994
20001100-1	I.S. Besedina	I.S. Besedina	fl. 1993
20001101-1	 Bertillon	 Bertillon	1821-1883
20001102-1	Reinhard Berndt	Reinhard Berndt	fl. 1985
20001103-1	Cindy R. Bergman	Cindy R. Bergman	fl. 1994
20001105-1	U. Belapurkar	U. Belapurkar	fl. 1994
20001106-1	Ross Ewen Beever	Ross Ewen Beever	1946-2010
20001107-1	Jean Béguinot	Jean Béguinot	fl. 1993
20001108-1	 Bauseigneur	 Bauseigneur	fl. 1926
20001109-1	 Bati	 Bati	fl. 1990
20001110-1	M. Bappammal	M. Bappammal	fl. 1992
20001111-1	Partha Banerjee	Partha Banerjee	fl. 1993
20001112-1	D.K. Bakhukhandi	D.K. Bakhukhandi	fl. 1992
20001113-1	Giorgio Baiano	Giorgio Baiano	fl. 1994
20001114-1	Yun Peng Bai	Yun Peng Bai	1963-
20001116-1	Brian J. Axsmith	Brian J. Axsmith	fl. 1994
20001117-1	Robert Jozef Maria Titus van Aubel	Robert Jozef Maria Titus van Aubel	1960-
20001118-1	Violeta Atienza	Violeta Atienza	fl. 1994
20001119-1	R.A. Ashley	R.A. Ashley	fl. 1994
20001120-1	Yuji Aoki	Yuji Aoki	fl. 1995
20001121-1	Theodore G. Andreadis	Theodore G. Andreadis	fl. 1991
20001122-1	Patricia Anderson	Patricia Anderson	fl. 1957
20001123-1	P. von Anderkas	P. von Anderkas	fl. 1992
20001124-1	Isabel F. Alvarez	Isabel F. Alvarez	fl. 1993
20001125-1	M.G. Almeida	M.G. Almeida	fl. 1991
20001126-1	J.W. Allen	J.W. Allen	fl. 1993
20001127-1	Siti Aisyah Alias	Siti Aisyah Alias	fl. 1994
20001128-1	M.S. Ali	M.S. Ali	fl. 1992
20001129-1	Saleh S.A. Al-Hedaithy	Saleh S.A. Al-Hedaithy	fl. 1993
20001130-1	Robyn Aimer	Robyn Aimer	fl. 1992
20001133-1	Bharati Adawadkar	Bharati Adawadkar	fl. 1992
20001134-1	 Adami	 Adami	fl. 1917
20001135-1	M.A. Abdel-Sater	M.A. Abdel-Sater	fl. 1995
20001136-1	Merhdad Abbasi	Merhdad Abbasi	fl. 1994
20001137-1	B.A. Abbas	B.A. Abbas	fl. 1995
20001139-1	F.C. Greenhalgh	F.C. Greenhalgh	fl. 1985
20001140-1	C. Camera	C. Camera	fl. 1963
20001141-1	N.I. Gaponenko	N.I. Gaponenko	fl. 1972
20001142-1	Désirée E. Bennett	Désirée E. Bennett	fl. 1995
20001143-1	Alan E. Bessette	Alan E. Bessette	fl. 1995
20001144-1	Jan Bezděk	Jan Bezděk	1858-1915
20001145-1	Josef Christan	Josef Christan	fl. 1995
20001146-1	Steen N. Christensen	Steen N. Christensen	fl. 1994
20001147-1	David C. Coleman	David C. Coleman	fl. 1995
20001148-1	Giuseppe Donelli	Giuseppe Donelli	fl. 1995
20001148-2	Hugh Daniel Wilson	Hugh Daniel Wilson	1943-
20001149-1	Urmas Kõljalg	Urmas Kõljalg	fl. 1995
20001149-2	François Emanuel Foderé	François Emanuel Foderé	1764-1835
20001150-1	Mauri Korhonen	Mauri Korhonen	1927-
20001150-2	Atila Ocak	Atila Ocak	fl. 2003
20001151-1	Henk Lammers	Henk Lammers	fl. 1995
20001151-2	Pragya Joshi	Pragya Joshi	fl. 2003
20001152-1	Jaume Llistosella	Jaume Llistosella	fl. 1995
20001153-1	Udo Luhmann	Udo Luhmann	fl. 1995
20001154-1	Thomas Lunke	Thomas Lunke	fl. 1995
